Player_Rank_Salary,Player_Name,Team_Salary,Salary_2025,Guaranteed_Salary,player_id,Player_Rank_Stats,Age,Team,Pos,FG,FG_Percent,ThreeP,ThreeP_Percent,TwoP,TwoP_Percent,eFG_Percent,FT,FT_Percent,ORB,DRB,TRB,AST,STL,BLK,PTS,Awards,Log_Salary_2025
31,James Harden,CLE,39182693.0,,hardeja01,22,36,CLE,PG,6.3,0.466,3.1,0.435,3.2,0.5,0.58,4.8,0.84,0.5,4.3,4.8,7.7,0.8,0.5,20.5,,17.483745702166576
32,Scottie Barnes,TOR,38661750.0,$224238150,barnesc01,62,24,TOR,PF,7.1,0.507,0.9,0.304,6.3,0.557,0.537,3.0,0.815,1.9,5.6,7.5,5.9,1.4,1.5,18.1,DPOY-5AS,17.47036129714521
33,Franz Wagner,ORL,38661750.0,$224238150,wagnefr01,37,24,ORL,SF,7.2,0.481,1.4,0.345,5.8,0.533,0.529,4.8,0.823,1.3,3.9,5.2,3.3,0.9,0.3,20.6,,17.47036129714521
34,Shai Gilgeous-Alexander,OKC,38333050.0,$276795400,gilgesh01,2,27,OKC,PG,10.8,0.553,1.7,0.386,9.1,0.602,0.597,7.9,0.879,0.6,3.7,4.3,6.6,1.4,0.8,31.1,CPOY-1AS,17.46182300632775
35,Michael Porter Jr.,BRK,38333050.0,$50333050,portemi01,19,27,BRK,SF,8.5,0.463,3.4,0.363,5.2,0.567,0.555,3.8,0.859,1.3,5.7,7.1,3.0,1.1,0.3,24.2,,17.46182300632775
36,Brandon Ingram,TOR,38095238.0,$78095238,ingrabr01,29,28,TOR,SF,8.0,0.477,1.8,0.382,6.2,0.512,0.529,3.8,0.82,0.8,4.8,5.6,3.7,0.8,0.7,21.5,AS,17.455599845408777
37,Tyrese Maxey,PHI,37958760.0,$168705600,maxeyty01,5,25,PHI,PG,9.9,0.462,3.1,0.367,6.8,0.525,0.536,5.3,0.892,0.3,3.8,4.1,6.6,1.9,0.8,28.3,CPOY-7AS,17.452010865208283
38,LaMelo Ball,CHO,37958760.0,$168705600,ballla01,44,24,CHO,PG,7.0,0.407,3.8,0.368,3.3,0.464,0.516,2.2,0.899,0.9,3.9,4.8,7.1,1.2,0.2,20.1,,17.452010865208283
39,De'Aaron Fox,SAS,37096620.0,$260200620,foxde01,56,28,SAS,PG,7.1,0.486,1.8,0.332,5.3,0.58,0.549,2.6,0.76,0.6,3.2,3.8,6.2,1.2,0.3,18.6,AS,17.429036418306048
40,Bam Adebayo,MIA,37096620.0,$140680620,adebaba01,43,28,MIA,C,6.9,0.442,1.7,0.318,5.2,0.509,0.497,4.5,0.778,2.0,8.0,10.0,3.2,1.2,0.7,20.1,DPOY-11,17.429036418306048
41,Desmond Bane,ORL,36725670.0,$163225200,banede01,45,27,ORL,SG,7.1,0.484,2.0,0.391,5.1,0.535,0.553,3.8,0.908,1.2,2.9,4.1,4.1,1.0,0.5,20.1,,17.418986523561
43,Jaren Jackson Jr.,UTA,35000000.0,$186500000,jacksja02,51,26,2TM,C,7.1,0.476,1.8,0.357,5.4,0.533,0.534,3.4,0.803,0.9,4.8,5.7,2.0,1.1,1.4,19.4,,17.37085861945369
43,Jaren Jackson Jr.,UTA,35000000.0,$186500000,jacksja02,51,26,MEM,C,7.1,0.475,1.8,0.359,5.3,0.531,0.534,3.3,0.797,0.9,4.8,5.8,1.9,1.0,1.5,19.2,,17.37085861945369
43,Jaren Jackson Jr.,UTA,35000000.0,$186500000,jacksja02,51,26,UTA,C,8.0,0.49,1.7,0.333,6.3,0.559,0.541,4.7,0.875,0.3,4.0,4.3,2.7,2.0,0.3,22.3,,17.37085861945369
44,Jalen Suggs,ORL,35000000.0,$123800000,suggsja01,123,24,ORL,PG,4.9,0.435,2.1,0.339,2.8,0.554,0.529,1.8,0.855,0.6,3.2,3.9,5.5,1.8,0.7,13.8,,17.37085861945369
